x_logit_normal,pdf_logit_normal_mu_-1,pdf_logit_normal_mu_0,pdf_logit_normal_mu_1
0.535,0.681543856422807,0.799844982628948,0.731045186520685
0.536,0.680956218431215,0.799958951861396,0.731884575942529
0.537,0.680371638988576,0.800076171018248,0.732728103868751
0.538,0.679790107079232,0.800196643416024,0.733575790176886
0.539,0.679211611776725,0.800320372465265,0.734427654908162
0.54,0.678636142243146,0.80044736167079,0.735283718268989
0.541,0.678063687728485,0.800577614631962,0.736144000632463
0.542,0.677494237569985,0.800711135042966,0.737008522539897
0.543,0.676927781191508,0.800847926693087,0.737877304702356
0.544,0.676364308102901,0.800987993467001,0.738750368002225
0.545,0.675803807899378,0.801131339345072,0.739627733494785
0.546,0.675246270260893,0.801277968403654,0.74050942240981
0.547,0.674691684951537,0.801427884815409,0.741395456153188
0.548,0.674140041818928,0.80158109284962,0.742285856308554
0.549,0.67359133079361,0.801737596872523,0.743180644638947
0.55,0.673045541888462,0.801897401347641,0.744079843088485
0.551,0.672502665198108,0.802060510836126,0.744983473784064
0.552,0.671962690898335,0.802226929997113,0.745891559037068
0.553,0.671425609245516,0.802396663588077,0.746804121345109
0.554,0.670891410576041,0.802569716465199,0.747721183393787
0.555,0.670360085305745,0.802746093583746,0.748642768058462
0.556,0.669831623929358,0.802925799998448,0.74956889840606
0.557,0.669306017019939,0.803108840863894,0.750499597696891
0.558,0.668783255228334,0.803295221434928,0.751434889386496
0.559,0.66826332928263,0.803484947067061,0.752374797127509
0.56,0.667746229987614,0.803678023216885,0.75331934477155
0.561,0.66723194822424,0.803874455442497,0.754268556371134
0.562,0.6667204749491,0.804074249403935,0.75522245618161
0.563,0.666211801193899,0.804277410863615,0.756181068663112
